Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_inverse_replay_length_diff,0.5018,1.0046,0.399,386.259,1.021
rule_masquerade_fake_fault_falsification,0.5034,0.7337,0.386,132.481,1.036
rule_masquerade_fake_fault_packet_reappearance_sequence,0.5036,1.3797,0.347,515.037,0.9635
rule_masquerade_fake_fault_sequence_jump,0.5043,1.0221,0.347,238.338,0.9815
rule_inverse_replay_desvio_significativo,0.5045,2.1854,0.302,663.864,0.974
rule_high_StNum_sqnum_reset_pattern,0.507,1.1341,0.359,281.099,1.154
rule_masquerade_fake_normal_sqnum_reset_pattern,0.5088,0.5455,0.322,137.503,1.0415
rule_injection_jumps_stnum,0.5092,0.7296,0.32,146.189,1.058
rule_random_replay_combined,0.5143,1.8063,0.281,622.903,1.326
rule_inverse_replay_falsification,0.5195,0.9379,0.4,365.228,1.027
rule_masquerade_fake_fault_estatistica,0.5255,0.5511,0.32,129.571,1.105
rule_injection_intervalos_entre_mensagens_anomais,0.527,0.8833,0.334,319.123,1.033
rule_injection_sqnum_reset_pattern,0.5273,1.0769,0.375,386.586,1.147
rule_grayhole_jumps_stnum_time_diff,0.5277,1.9088,0.319,509.626,1.301
rule_grayhole_cbstatus_jumps,0.5298,0.7197,0.343,184.967,1.063
rule_masquerade_fake_fault_combination_anomaly,0.5307,0.778,0.344,215.653,1.171
rule_masquerade_fake_normal_increment_anomalous_sequence,0.5345,1.3457,0.317,388.777,1.119
rule_injection_replay_exata_de_pacotes_antigos,0.5349,1.1275,0.422,381.594,1.126
rule_high_StNum_falsification,0.5372,1.6065,0.356,403.641,1.263
rule_injection_falsificacao_consistente_de_eth_src_dst_cb_status,0.5384,0.5714,0.361,177.724,1.146
rule_inverse_replay_sqnum_reset_pattern,0.5417,0.9238,0.384,343.407,0.98
rule_injection_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.5422,1.3015,0.335,362.866,1.213
rule_injection_valores_que_nunca_aparecem_no_trafego_normal,0.5423,0.8304,0.449,301.272,1.055
rule_grayhole_sqnum_stnum_jumps,0.5487,0.9161,0.35,164.345,1.124
rule_injection_replay_pattern,0.5501,1.1809,0.376,380.827,1.045
rule_grayhole_ethsrc_ethdst_jumps,0.5531,0.8236,0.383,153.426,1.152
rule_masquerade_fake_normal_unusual_delay,0.5617,2.9901,0.266,464.269,1.012
rule_high_StNum_injection_forged_packets,0.5627,1.3061,0.457,360.518,1.101
rule_masquerade_fake_fault_combination_anomaly_sequence,0.5641,0.8543,0.345,156.781,1.269
rule_masquerade_fake_normal_replay,0.565,1.2695,0.451,327.453,1.256
rule_masquerade_fake_normal_ethsrc_ethdst_cbstatus,0.5674,1.1483,0.328,338.086,1.178
rule_masquerade_fake_normal_frequencia_anomalia_go_id,0.5729,0.446,0.283,35.911,0.921
rule_inverse_replay_deviation,0.5732,0.7422,0.403,171.76,1.083
rule_inverse_replay_jumps_stnum_time_diff,0.5791,1.0354,0.385,333.85,1.041
rule_grayhole_sqnum_reset_pattern,0.5794,2.1684,0.331,668.67,3.6289
rule_masquerade_fake_fault_estatistica2,0.5827,1.1454,0.406,366.184,1.228
rule_random_replay_replay_exato,0.5869,1.5502,0.365,554.036,1.069
rule_masquerade_fake_normal_combined,0.5876,0.7849,0.245,174.711,1.4455
rule_masquerade_fake_normal_mudancas_anomalias_go_id,0.5889,3.2382,0.286,1285.515,0.933
rule_high_StNum_replay_pattern,0.5933,0.9558,0.375,339.852,1.0785
rule_inverse_replay_pattern_alternance,0.5942,1.1919,0.379,369.983,1.085
rule_random_replay_flood_rajada,0.5943,0.815,0.305,163.639,0.947
rule_poisoned_high_rate_pattern_specific,0.596,1.0486,0.427,219.811,1.165
rule_masquerade_fake_normal_pacotes_desaparecem_reaparecem_sq_num,0.5994,0.5822,0.305,121.757,0.9325
rule_masquerade_fake_fault_rapid_packets,0.6023,0.8159,0.347,182.551,1.291
rule_masquerade_fake_normal_falsification_cb_status,0.6035,1.5713,0.236,538.052,0.968
rule_masquerade_fake_fault_timestampdiff,0.6055,3.4944,0.32,1434.788,0.968
rule_masquerade_fake_normal_rajada_pacotes_intervalo_curto,0.6132,3.7572,0.257,1640.98,0.984
rule_high_StNum_injection,0.6156,0.9674,0.457,352.658,1.235
rule_inverse_replay_alternancia,0.6172,1.1905,0.387,385.025,1.292
